"ASSET_ID","GROUP_ID","ACQ_TYPE","PID","ACQ_COST","ASSET_TYPE","OWNER","DISPOSAL","MAIN_CLASS","ACQ_DATE","DISP_DATE","DISP_TYPE","ACQDISPSOURCE","LAND_NAME","HECTARES","SERV_CAT","PARK_ID","PARK_NAME","REPL_COST","HRWC_FLAG","ASSET_RECORD_COUNT","HRM_PARCEL_ADDDATE","HRM_PARCEL_MODDATE"
"1","1264","","40079683","","LAND","HRM","Y","VAC","",""," ",""," ","0.007","H","","","","","1","2007-11-06","2016-08-23"
"2","1242","LAND","41034919","0.00000000","LAND","HRM","","OPN","2002-03-27","","","Transaction Summary","AARONS WAY PARK","0.999","G","1242","AARONS WAY PARK","","","1","2007-11-06","2017-06-27"
"3","9997","LAND","40519845","0.00000000","LAND","HRM","","DRA","1996-01-01","","","Transaction Summary","DRAINAGE","0.077","F","","","","","1","2007-11-06","2017-03-24"
"5","1259","LAND","40076192","110000.00000000","LAND","HRM","","LAU","2005-12-14","","","Transaction Summary","VILLAGE RD HERRING COVE 242","0.053","D","","","","","1","2007-11-06","2017-03-24"
"6","294","LAND","40077877","0.00000000","LAND","HRM","","OPN","1971-12-01","","","Transaction Summary","HERRING COVE JUNIOR HIGH SCHOOL","3.083","G","4023","HERRING COVE JUNIOR HIGH SCHOOL PARK","","","1","2007-11-06","2017-06-27"
"7","1256","LAND","00627414","0.00000000","LAND","HRM","","OPN","1985-08-01","","","Transaction Summary","CHURCHILL ESTATE OPEN SPACE / BUFFER","0.850","G","","","","","1","2007-11-06","2017-03-24"
"8","1254","LAND","40376303","0.00000000","LAND","HRM","","DRA","1996-01-01","","","Transaction Summary"," ","0.037","H","","","","","1","2007-11-06","2017-03-24"
"9","71","LAND","41120262","0.00000000","LAND","HRM","","LAU","2004-02-06","","","Transaction Summary","VILLAGE ROAD WALKWAY","0.204","G","","","","","1","2007-11-06","2017-03-24"
"10","71","LAND","41117631","0.00000000","LAND","HW","Y","LAU","2003-10-02","2011-08-11","TRANSFER","Transaction Summary","VILLAGE ROAD WALKWAY","7.782","G","","","","","1","2007-11-06","2016-08-23"
"11","537","LAND","41074089","0.00000000","LAND","HRM","","OPN","2005-04-29","","","Transaction Summary","BREAKERS DISTRICT PARK","0.599","G","537","BREAKERS DISTRICT PARK","","","1","2007-11-06","2017-06-27"
"12","1253","","00455873","","LAND","HRM","","DRA","","","",""," ","0.018","H","","","","","1","2007-11-06","2017-03-24"
"13","331","LAND","00397208","0.00000000","LAND","HRM","","OPN","1971-12-01","","","Transaction Summary","SAMBRO ELEMENTARY SCHOOL","0.645","G","4019","SAMBRO ELEMENTARY SCHOOL PARK","","","1","2007-11-06","2019-12-19"
"14","1250","LAND","40847311","1500.00000000","LAND","HRM","","OPN","1999-01-12","","","Transaction Summary","BALD ROCK ROAD OPEN SPACE","0.033","G","","","","","1","2007-11-06","2017-03-24"
"15","1245","LAND","40594517","1.00000000","LAND","HRM","","LAB","2004-09-16","","","Transaction Summary","","0.536","H","","","","","1","2007-11-06","2017-03-24"
"16","272","LAND","41489147","0.00000000","LAND","HRM","","OPN","1956-01-01","","","Transaction Summary","EASTERN CONSOLIDATED ELEMENTARY SCHOOL PARK","1.205","G","272","EASTERN CONSOLIDATED ELEMENTARY SCHOOL PARK","","","1","2007-11-06","2021-02-17"
"17","1243","LAND","40250169","0.00000000","LAND","HRM","","OPN","1971-01-01","","","Transaction Summary","MOSER RIVER PARK","0.310","G","1243","MOSER RIVER PARK","","","1","2007-11-06","2017-06-27"
"18","1202","","00449579","","LAND","HRM","","VAC","","","",""," ","0.987","H","","","","","1","2007-11-06","2017-03-24"
