"OBJECTID","STR_CODE","STR_NAME","STR_TYPE","GSA_NAME","FULL_NAME","STR_STATUS","OWN","DATE_ACCEPT","PST_CLASS","SOURCE","FDMID","FROM_STREET","TO_STREET","SHAPE_LENGTH","SHORT_DESC","LONG_DESC","SURF_MAT","SDI","PAVE_WIDTH","RATE_DATE","NUM_CURB","WIDTH2","BASEVAL","SURFVAL","OLD_FDMID","DATE_RET","DATE_REV","DATE_ACT","SYS_DATE"
"1","9999","AKERLEY","BLVD","DARTMOUTH","AKERLEY BLVD","OPEN","HRM","","ARTERIAL","DM","700004213","","","40.12701308","AKERLEY BLVD (JOHN SAVAGE AVE TO JOHN SAVAGE AVE)","AKERLEY BLVD (DARTMOUTH)","","","","","","","","","0.00000000","","2025-03-05","2001-11-23","2025-01-21"
"2","9999","YANKEETOWN","RD","HAMMONDS PLAINS","YANKEETOWN RD","OPEN","HRM","2006-04-01","LOCAL STREET","DM","700012036","","","164.03784478","YANKEETOWN RD (CAPER CRT TO SASA LANE)","YANKEETOWN RD (HAMMONDS PLAINS)","","","","","","","","","700001782.00000000","","2025-03-05","2023-03-14","2023-04-04"
"3","9999","HIDEAWAY","TRL","BROOKSIDE","HIDEAWAY TRL","OPEN","HRM","2024-07-15","LOCAL STREET","CS","700011426","","","687.59850663","HIDEAWAY TRL (THICKET DR TO END)","HIDEAWAY TRL (BROOKSIDE)","","","","","","","","","","","2025-03-05","2021-04-29","2024-10-08"
"4","9999","LEONAMARIE","DR","DARTMOUTH","LEONAMARIE DR","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012152","","","294.05543894","LEONAMARIE DR (MOUNT HOPE AVE TO NOAH AVE)","LEONAMARIE DR (DARTMOUTH)","","","","","","","","","","","2025-03-05","2023-08-15","2024-10-08"
"5","9999","LEONAMARIE","DR","DARTMOUTH","LEONAMARIE DR","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012159","","","75.93006783","","","","","","","","","","","","2024-05-30","2025-03-05","2023-08-15","2024-10-08"
"6","9999","TERRASTONE","RG","DARTMOUTH","TERRASTONE RG","OPEN","HRM","2025-02-04","","SD","700013487","","","348.65072063","","","","","","","","","","","700012369.00000000","2025-02-13","2025-03-05","2023-10-12","2025-02-13"
"7","9999","JULIUS","BLVD","BEECHVILLE","JULIUS BLVD","OPEN","HRM","2024-10-10","","SD","700011797","","","411.45703057","JULIUS BLVD (CHAIN LAKE DR TO DUGGER MCNEIL DR)","JULIUS BLVD (BEECHVILLE)","","","","","","","","","","","2025-03-05","2022-06-27","2024-10-23"
"8","9999","JULIUS","BLVD","BEECHVILLE","JULIUS BLVD","OPEN","HRM","2024-10-10","","SD","700011798","","","488.72628627","JULIUS BLVD (DUGGER MCNEIL DR TO SUSIE LAKE CRES)","JULIUS BLVD (BEECHVILLE)","","","","","","","","","","","2025-03-05","2022-06-27","2024-10-23"
"9","9999","DUGGER MCNEIL","DR","BEECHVILLE","DUGGER MCNEIL DR","OPEN","HRM","2024-10-10","","SD","700011800","","","370.50226515","DUGGER MCNEIL DR (JULIUS BLVD TO END)","DUGGER MCNEIL DR (BEECHVILLE)","","","","","","","","","","","2025-03-05","2022-06-27","2024-10-23"
"10","9999","NOAH","AVE","DARTMOUTH","NOAH AVE","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012153","","","299.68697931","NOAH AVE (LEONAMARIE DR TO KASSI LANE)","NOAH AVE (DARTMOUTH)","","","","","","","","","","","2025-03-05","2023-08-15","2024-10-08"
"11","9999","FLEETWOOD","DR","FALL RIVER","FLEETWOOD DR","OPEN","HRM","2024-11-01","","SD","700012161","","","1009.13360909","","","","","","","","","","","","2024-09-13","2025-03-05","2023-08-15","2025-02-13"
"12","9999","KASSI","LANE","DARTMOUTH","KASSI LANE","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012155","","","284.24469872","KASSI LANE (LEONAMARIE DR TO NOAH AVE)","KASSI LANE (DARTMOUTH)","","","","","","","","","","","2025-03-05","2023-08-15","2024-10-08"
"13","9999","LEONAMARIE","DR","DARTMOUTH","LEONAMARIE DR","OPEN","HRM","2024-05-23","LOCAL STREET","CS","700012158","","","79.45654637","LEONAMARIE DR (NOAH AVE TO KASSI LANE)","LEONAMARIE DR (DARTMOUTH)","","","","","","","","","","","2025-03-05","2023-08-15","2024-10-08"
"14","9999","BRUNELLO","BLVD","TIMBERLEA","BRUNELLO BLVD","OPEN","HRM","2024-10-31","","CS","700013283","","","275.42726795","","","","","","","","","","","700013402.00000000","2025-01-13","2025-03-05","2024-02-16","2025-01-13"
"15","9999","ST MARGARETS BAY","RD","HUBLEY","ST MARGARETS BAY RD","OPEN","HRM","2022-06-01","ARTERIAL","DM","700013300","","","202.90598529","ST MARGARETS BAY RD (BUMBLEBEE LANE TO BIRDSONG LANE)","ST MARGARETS BAY RD (HUBLEY)","","","","","","","","","700001144.00000000","","2025-03-05","2024-03-14","2024-03-14"
"21","9999","HIGGINS","AVE","BEECHVILLE","HIGGINS AVE","OPEN","HRM","2024-07-26","MINOR COLLECTOR","SD","700013308","","","98.07966425","","","","","","","","","","","","2024-08-09","2025-03-05","2024-03-20","2024-08-09"
"22","9999","HIGGINS","AVE","BEECHVILLE","HIGGINS AVE","OPEN","HRM","2024-07-26","MINOR COLLECTOR","SD","700013309","","","300.22858057","","","","","","","","","","","","2024-08-09","2025-03-05","2024-03-20","2024-08-09"
"23","9999","FLATROCK","CRES","BEECHVILLE","FLATROCK CRES","OPEN","HRM","2024-07-26","LOCAL STREET","SD","700013314","","","110.20407608","","","","","","","","","","","","2024-08-09","2025-03-05","2024-03-20","2024-08-09"
"16","9999","SIMMONDS","RD","NORTH PRESTON","SIMMONDS RD","OPEN","HRM","","LOCAL STREET","DM","700013304","","","121.08923635","SIMMONDS RD (INEZ LANE TO WILFRED JOSEPH DR)","SIMMONDS RD (NORTH PRESTON)","","","","","","","","","700000469.00000000","","2025-03-05","2024-03-18","2024-03-18"
"17","9999","GOUGH","CL","BEECHVILLE","GOUGH CL","OPEN","HRM","2024-07-26","LOCAL STREET","SD","700013311","","","95.98128666","GOUGH CL (HIGGINS AVE TO END)","GOUGH CL (BEECHVILLE)","","","","","","","","","","","2025-03-05","2024-03-20","2024-08-09"
"18","9999","ST MARGARETS BAY","RD","BEECHVILLE","ST MARGARETS BAY RD","OPEN","HRM","","ARTERIAL","CA","700013310","","","84.93412906","ST MARGARETS BAY RD (HIGGINS AVE TO SHEPPARDS RUN)","ST MARGARETS BAY RD (BEECHVILLE)","","","","","","","","","300003392.00000000","","2025-03-05","2024-03-20","2024-03-21"
"19","9999","GRANITE","TERR","BEECHVILLE","GRANITE TERR","OPEN","HRM","2024-07-26","LOCAL STREET","SD","700013313","","","154.69066194","GRANITE TERR (HIGGINS AVE TO END)","GRANITE TERR (BEECHVILLE)","","","","","","","","","","","2025-03-05","2024-03-20","2024-08-09"
"20","9999","HIGGINS","AVE","BEECHVILLE","HIGGINS AVE","OPEN","HRM","2022-09-09","MINOR COLLECTOR","SD","700013312","","","115.10262748","HIGGINS AVE (GROSSE ST TO FOG LANE)","HIGGINS AVE (BEECHVILLE)","","","","","","","","","700011714.00000000","","2025-03-05","2024-03-20","2024-08-09"
"24","0","PRESTON","ST","HALIFAX","PRESTON ST","OPEN","HRM","","LOCAL STREET","CA","300001662","","","78.38718990","PRESTON ST (SHIRLEY ST TO PEPPERELL ST)","PRESTON ST (HALIFAX)","ASPHALT","1.91000000","9.00000000","2015-10-15","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-09","2020-11-09"
"25","0","HAMMONDS PLAINS","RD","STILLWATER LAKE","HAMMONDS PLAINS RD","OPEN","HRM","2006-04-01","ARTERIAL","DM","600000090","","","155.60473862","HAMMONDS PLAINS RD (STILLWATER LAKE DR TO HAMMONDS PLAINS RD)","HAMMONDS PLAINS RD (STILLWATER LAKE)","ASPHALT","9.84400000","11.00000000","2013-11-21","0","14.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-09","2020-11-09"
"26","0","WENTWORTH","ST","DARTMOUTH","WENTWORTH ST","OPEN","HRM","","LOCAL STREET","DM","200000563","","","51.36071785","WENTWORTH ST (CHURCH ST TO PARK AVE)","WENTWORTH ST (DARTMOUTH)","ASPHALT","5.13400000","10.00000000","2012-05-10","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-07","2020-11-09"
"27","0","WILLOWHILL","RG","WAVERLEY","WILLOWHILL RG","OPEN","HRM","2007-04-13","LOCAL STREET","DM","700003703","","","250.89226865","WILLOWHILL RG (FOXTAIL CRT TO BUNCHBERRY LANE)","WILLOWHILL RG (WAVERLEY)","ASPHALT","8.35700000","6.40000000","2015-11-02","0","9.40000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2004-11-10","2022-09-12"
"28","0","ALFRED","ST","DARTMOUTH","ALFRED ST","OPEN","HRM","","LOCAL STREET","DM","200000290","","","116.88613608","ALFRED ST (COURTNEY RD TO CATHERINE ST)","ALFRED ST (DARTMOUTH)","ASPHALT","1.68800000","11.00000000","2015-11-09","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-19","2020-11-09"
"29","0","FAULKNER","ST","DARTMOUTH","FAULKNER ST","OPEN","HRM","","LOCAL STREET","DM","200002611","","","103.34955438","FAULKNER ST (WILLIAMS ST TO DICKSON ST)","FAULKNER ST (DARTMOUTH)","ASPHALT","3.14700000","11.00000000","2013-09-23","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-11-14","2020-11-09"
"30","0","BLUE MOUNTAIN","DR","BEDFORD","BLUE MOUNTAIN DR","OPEN","HRM","","MINOR COLLECTOR","CR","100002526","","","208.70623941","BLUE MOUNTAIN DR (LARRY UTECK BLVD TO BLUE MOUNTAIN DR)","BLUE MOUNTAIN DR (BEDFORD)","ASPHALT","6.68800000","6.10000000","2014-09-10","0","9.10000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-06-14","2022-01-18"
"31","0","LYNNETT","RD","HALIFAX","LYNNETT RD","OPEN","HRM","","LOCAL STREET","DM","300002645","","","229.17253548","LYNNETT RD (FORBES ST TO END)","LYNNETT RD (HALIFAX)","BST","7.74300000","7.00000000","2014-07-23","0","0.00000000","0.00000000","0.00000000","0.00000000","2016-11-01","2020-02-25","2001-12-19","2023-10-05"
"286","0","DUKE","ST","BEDFORD","DUKE ST","OPEN","HRM","","ARTERIAL","DM","700005676","","","148.39146498","","DUKE ST (BEDFORD)","ASPHALT","9.84400000","19.40000000","2013-07-25","0","22.40000000","0.00000000","0.00000000","","","2025-03-05","2007-10-22","2020-11-09"
"2011","0","GLEBE","ST","HALIFAX","GLEBE ST","OPEN","HRM","","LOCAL STREET","DM","700005077","","","43.35974857","","GLEBE ST (HALIFAX)","BST","8.11200000","11.00000000","2013-04-22","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-09-27","2020-11-09"
"2177","0","WINDSOR","ST","HALIFAX","WINDSOR ST","OPEN","HRM","","ARTERIAL","DM","700004927","","","129.76329576","","WINDSOR ST (HALIFAX)","ASPHALT","9.84400000","9.00000000","2012-10-16","2","0.00000000","0.00000000","0.00000000","0.00000000","","2025-03-05","2001-12-16","2020-11-09"
"3120","0","ALBERT","ST","HALIFAX","ALBERT ST","OPEN","HRM","","LOCAL STREET","DM","700005090","","","28.83909825","","ALBERT ST (HALIFAX)","ASPHALT","9.02300000","8.40000000","2015-09-29","2","0.00000000","0.00000000","0.00000000","","","2025-03-05","2007-09-26","2020-11-09"
