STR_CODE,STR_NAME,STR_TYPE,FULL_NAME,STR_STATUS,PST_CLASS,OWN,DATE_ACCEPT,SOURCE,FDMID,OLD_FDMID,GSA_NAME,DATE_ACT,SYS_DATE,SHAPE_LENGTH,PID,ACQDISTYPE
9999,LAWRENCETOWN,RD,LAWRENCETOWN RD,OPEN,ARTERIAL,HRM,2022-06-01 00:00:00.0000000,DM,700000439,400000224,LAWRENCETOWN,2001-09-19 00:00:00.0000000,2022-05-31 13:32:14.0000000,138.063321564939,40951501,NULL
9999,HUBLEYS,RD,HUBLEYS RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,DM,600000816,0,HUBLEY,2001-11-30 00:00:00.0000000,2022-05-31 13:32:14.0000000,285.990131007842,40896201,NULL
9999,CANDY MOUNTAIN,RD,CANDY MOUNTAIN RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CR,700001931,400000586,MINEVILLE,2001-10-01 00:00:00.0000000,2022-06-06 17:44:49.0000000,39.4993260763722,40769606,NULL
9999,WHISPERING,WAY,WHISPERING WAY,OPEN,LOCAL STREET,HRM,2003-11-12 00:00:00.0000000,DM,700001864,0,BEAVER BANK,2002-11-28 00:00:00.0000000,2020-11-09 00:00:00.0000000,112.228213921961,41114687,NULL
9999,CANTERBURY,PL,CANTERBURY PL,OPEN,LOCAL STREET,HRM,NULL,DM,200002520,0,DARTMOUTH,2001-11-02 00:00:00.0000000,2020-11-09 00:00:00.0000000,80.6626069846832,40945438,NULL
9999,STEVENS,RD,STEVENS RD,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,CA,600001023,0,BOUTILIERS POINT,2001-11-13 00:00:00.0000000,2022-05-31 13:32:14.0000000,196.535618142977,40901399,NULL
9999,COLE HARBOUR,RD,COLE HARBOUR RD,OPEN,ARTERIAL,HRM,NULL,DM,200002936,0,COLE HARBOUR,2001-09-25 00:00:00.0000000,2022-09-12 18:54:21.0000000,495.170950369603,40951568,NULL
9999,UPPER PARTRIDGE RIVER,RD,UPPER PARTRIDGE RIVER RD,OPEN,MINOR COLLECTOR,HRM,2022-06-01 00:00:00.0000000,CR,700000455,400001118,EAST PRESTON,2001-10-04 00:00:00.0000000,2022-08-31 17:28:56.0000000,315.18573905224,40956187,NULL
9999,JUNIPER,PL,JUNIPER PL,OPEN,LOCAL STREET,HRM,2022-06-01 00:00:00.0000000,DM,700007349,600000794,UPPER TANTALLON,2001-11-28 00:00:00.0000000,2022-05-31 13:32:14.0000000,52.3113314702413,40896110,NULL
9999,HILLSBORO,DR,HILLSBORO DR,OPEN,MINOR COLLECTOR,HRM,NULL,DM,200002878,0,WESTPHAL,2001-09-26 00:00:00.0000000,2022-09-12 18:54:21.0000000,325.048421838895,40948515,NULL
