OBJECTID,FCODE,STR_NAME,STR_TYPE,FULL_NAME,MUN_CODE,FROM_STR,TO_STR,STR_DIR,STR_STATUS,ST_CLASS,OWN,DATE_ACCEPT,STR_REM,FLAGS,PSAB_CODE,FDMID,ROUTE_ID,FROM_LEFT,TO_LEFT,FROM_RIGHT,TO_RIGHT,OLD_FDMID,GSA_LEFT,GSA_RIGHT,PAR_LEFT,PAR_RIGHT,STR_CODE_L,STR_CODE_R,ASSETID,ADDDATE,MODDATE,ORIGIN_DATE,MAINTENANCE,Shape_Length
1,RRRD,ALPS,RD,ALPS RD,HRM,STARGAZER DR,EVENSONG CRT,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,SD,700500600,1028,224,296,225,297,700009757,PORTERS LAKE,PORTERS LAKE,EL,OR,6937,6937,ST50600,1/13/2026 19:13:22,1/13/2026 19:13:22,,PCHZ,16.954618245832119
2,RRRD,ALPS,RD,ALPS RD,HRM,EVENSONG CRT,END,BOTH,OPEN,MINOR COLLECTOR,HRM,11/14/2025 0:00:00,,,DM,700500594,1028,334,344,335,345,,PORTERS LAKE,PORTERS LAKE,EL,OR,6937,6937,ST50594,1/12/2026 14:21:27,1/12/2026 14:47:44,,PCHZ,34.415721698114275
3,RRRD,ALPS,RD,ALPS RD,HRM,ANCHORAGE RD,STARGAZER DR,BOTH,OPEN,MINOR COLLECTOR,HRM,3/13/2015 0:00:00,,,FA,700007871,1028,70,142,71,143,400000084,PORTERS LAKE,PORTERS LAKE,EL,OR,6937,6937,ST14094,10/3/2001 0:00:00,7/18/2018 0:00:00,,PCHZ,336.329541231833446
4,RRRDLG60,MONTAGUE,RD,MONTAGUE RD,HRM,MANDY LANE,MONTAGUE RD,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,DM,700501178,1049,470,524,471,523,0,LAKE LOON,LAKE LOON,EL,OR,8238,8238,ST51206,4/7/2026 20:19:09,4/7/2026 20:19:09,,WSZ1,202.137433206153872
5,RRRDLG60,MONTAGUE,RD,MONTAGUE RD,HRM,PROSPECTORS LOOP,ADELCHI CRT,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CR,200003061,1049,736,924,735,925,0,MONTAGUE GOLD MINES,MONTAGUE GOLD MINES,EL,OR,4308,4308,ST10574,10/4/2001 0:00:00,3/12/2019 0:00:00,,WSZ1,913.536049054031423
6,RRRDLG60,BRIAN,ST,BRIAN ST,HRM,UPPER PARTRIDGE RIVER RD,UNDER REVIEW  623 UN,BOTH,OPEN,LOCAL STREET,HRM,6/1/2022 0:00:00,,,DM,400000973,1064,2,74,1,75,0,EAST PRESTON,EAST PRESTON,EL,OR,15211,15211,ST6192,10/4/2001 0:00:00,5/27/2022 18:07:02,,WSZ1,350.609185830258014
7,RRRDLG60,UPPER PARTRIDGE RIVER,RD,UPPER PARTRIDGE RIVER RD,HRM,WILLIAM ST,HAMMOCK LANE,BOTH,OPEN,MINOR COLLECTOR,HRM,,,,CA,400001118,1065,362,394,361,395,0,EAST PRESTON,EAST PRESTON,EL,OR,5513,5513,ST758,10/4/2001 0:00:00,2/6/2025 18:20:14,,WSZ1,155.843157527563250
8,RRRDLG60,LAKE MAJOR,RD,LAKE MAJOR RD,HRM,HIGHWAY 7,LAKE MAJOR RD,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,200001585,1070,2,20,1,21,0,WESTPHAL,WESTPHAL,EL,OR,10579,10579,ST2300,10/5/2001 0:00:00,,,WSZ1,115.071066326673730
9,RRRDLG60,LAKE MAJOR,RD,LAKE MAJOR RD,HRM,CHAMBERLAIN DR,OLD GERMAN RD,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,700000483,1070,40,228,39,229,200002939,WESTPHAL,WESTPHAL,EL,OR,10579,10579,ST4305,10/5/2001 0:00:00,11/17/2014 0:00:00,,WSZ1,834.033211048662906
10,RRRDLG60,LAKE MAJOR,RD,LAKE MAJOR RD,HRM,OLD GERMAN RD,REDDY DR,BOTH,OPEN,MAJOR COLLECTOR,HRM,,,,CA,200003076,1070,230,308,231,309,700000481,WESTPHAL,WESTPHAL,EL,OR,10579,10579,ST9986,10/5/2001 0:00:00,11/17/2014 0:00:00,,WSZ1,447.763157408933409
